s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_DispSynd
Diospyros_carbonaria	112.7867357	0.013092019	0.0004029	0.647178908	0.3042	46.72	0.3347	588.8482143	0.00178167	0
Diploon_cuspidatum	85.49360033	0.022657862	0.000506067	0.723133333	0.29502	45.51	0.3592	2000	0.00323939	0
Dipteryx_odorata	114.291156	0.022601522	0.0008317	0.851366667	0.144	48.16	0.3173	6060	0.000161976	0
Drypetes_fanshawei	75.19384987	0.021031202	0.0006928	0.68663125	0.31668	49.07	0.3191	297.4292423	0.0102041	0
Drypetes_variabilis	109.0699256	0.020416334	0.0007755	0.71756	0.46816	49.96	0.3038	369.252381	0.00388727	0
Duguetia_surinamensis	79.84697904	0.032265071	0.0007757	0.7467	0.2815	49.18	0.3122	850.5714286	0.00502105	0
Ecclinusa_lanceolata	129.944599	0.014804114	0.00042	0.60377	0.20768	50.04	0.3038	546	0.000809848	0
Ecclinusa_ramiflora	99.45949421	0.016561706	0.00072	0.59755	0.25548	52.8	0.2743	500	0.000809848	0
Endlicheria_melinonii	81.37334066	0.018250086	0.0005176	0.5976	0.5138	49.76	0.3071	1318.113889	0.000971824	0
Eperua_falcata	78.31422578	0.020796806	0.0007655	0.636615385	0.64611	49.55	0.3062	6910	0.0194364	3
Eperua_grandiflora	125.5110583	0.015187573	0.0006276	0.6763525	0.73992	45.45	0.3543	10600	0.000647873	3
Erisma_floribundum	81.07416614	0.018239029	0.0005358	0.4754	0.40514	48.23	0.322	595	0.000323951	2
Eschweilera_chartaceifolia	70.60160644	0.023985836	0.00068	0.703945	0.317	48.21	0.3174	3205.537121	0.00340137	0
Eschweilera_coriacea	100.662523	0.020654663	0.00115	0.677554019	0.52742	49.62	0.2969	3588.8125	0.02138	0
Eschweilera_decolorans	113.3879001	0.022550379	0.0005603	0.740768889	0.4048	50.52	0.2965	1910	0.0011338	0
Eschweilera_grandiflora	113.8225074	0.023198504	0.00116	0.684009	0.3598	48.34	0.3262	2500	0.00518301	0
Eschweilera_micrantha	93.47033052	0.020762831	0.0008613	0.73898	0.45603	53.17	0.2661	2500	0.0178167	0
Eschweilera_pedicellata	72.99973424	0.021777945	0.0007022	0.67656	0.122	47.83	0.3312	2500	0.000161976	0
Eschweilera_sagotiana	138.2226177	0.018782318	0.0004491	0.698647	0.4438	52.16	0.2728	2150	0.000485897	0
Glycydendron_amazonicum	43.77666059	0.034378605	0.0013639	0.5123	0.37791	45.79	0.3481	2307.75	0.000323951	0
Goupia_glabra	78.59377938	0.021282407	0.0006277	0.668915833	0.6936	48.94	0.3271	20.93333333	0.00178167	0
Helicostylis_pedunculata	84.33955367	0.023570388	0.0006517	0.531975	0.46575	49.84	0.3004	126.7457627	0.00259152	0
Hevea_guianensis	55.70146511	0.02568237	0.0010728	0.561266667	0.5	48.98	0.3084	1719.666667	0.000161976	3
Hirtella_bicornis	66.05823877	0.017814063	0.0005002	0.7354	0.45155	44.53	0.3605	219.0734867	0.000971824	0
Hirtella_glandulosa	111.4193626	0.015078579	0.000457844	0.77995	0.51784	51.24	0.2835	219.0734867	0.00534499	0
Hirtella_suffulta	88.70970408	0.015277872	0.0004119	0.7902	0.19336	50.29	0.2974	219.0734867	0.000809848	0
Inga_acrocephala	71.70146643	0.032579027	0.00156	0.5230875	0.19353	48.79	0.3181	1476.5	0.000647873	0
Inga_longipedunculata	86.13331962	0.033084411	0.00082	0.645196667	0.24099	50.66	0.2891	563.984013	0.00129575	0
Inga_pezizifera	63.8129548	0.030542235	0.0014	0.543018889	0.34778	47.46	0.3278	2500	0.0011338	0
Iryanthera_sagotiana	86.8668248	0.01927126	0.0005287	0.544357037	0.49092	48.98	0.3155	2500	0.00923225	0
Jacaranda_copaia	75.46669939	0.024555795	0.0005999	0.381553745	0.40101	49.66	0.3102	4.911505615	0.00226757	2
Lacmellea_aculeata	80.57737246	0.015900544	0.0007007	0.536174	0.1711	50.69	0.2876	500	0.00178167	0
Lacunaria_jenmanii	153.196787	0.013207232	0.0003902	0.78475	0.23788	47.84	0.3242	265.7777778	0.000323951	0
Laetia_procera	98.2191586	0.024803545	0.0010139	0.580238889	0.307	52.67	0.269	4.603	0.000161976	0
